time[s],Xcg[m],Xcp[m]
0.742,1.9358,2.0842
0.743,1.9357,2.0843
0.744,1.9357,2.0845
0.745,1.9357,2.0847
0.746,1.9356,2.0848
0.747,1.9356,2.085
0.748,1.9355,2.0851
0.749,1.9355,2.0853
0.75,1.9355,2.0855
0.751,1.9354,2.0856
0.752,1.9354,2.0858
0.753,1.9354,2.086
0.754,1.9353,2.0861
0.755,1.9353,2.0863
0.756,1.9353,2.0865
0.757,1.9352,2.0866
0.758,1.9352,2.0868
0.759,1.9351,2.087
0.76,1.9351,2.0871
0.761,1.9351,2.0873
0.762,1.935,2.0874
0.763,1.935,2.0876
0.764,1.935,2.0878
0.765,1.9349,2.0879
0.766,1.9349,2.0881
0.767,1.9348,2.0883
0.768,1.9348,2.0884
0.769,1.9348,2.0886
0.77,1.9347,2.0888
0.771,1.9347,2.0889
0.772,1.9347,2.0891
0.773,1.9346,2.0892
0.774,1.9346,2.0894
0.775,1.9345,2.0896
0.776,1.9345,2.0897
0.777,1.9345,2.0899
0.778,1.9344,2.0901
0.779,1.9344,2.0902
0.78,1.9344,2.0904
0.781,1.9343,2.0906
0.782,1.9343,2.0908
0.783,1.9342,2.091
0.784,1.9342,2.0912
0.785,1.9342,2.0914
0.786,1.9341,2.0916
0.787,1.9341,2.0918
0.788,1.9341,2.0921
0.789,1.934,2.0923
0.79,1.934,2.0925
0.791,1.9339,2.0927
0.792,1.9339,2.0929
0.793,1.9339,2.0931
0.794,1.9338,2.0934
0.795,1.9338,2.0936
0.796,1.9338,2.0938
0.797,1.9337,2.094
0.798,1.9337,2.0942
0.799,1.9337,2.0944
0.8,1.9336,2.0947
0.801,1.9336,2.0949
0.802,1.9335,2.0951
0.803,1.9335,2.0953
0.804,1.9335,2.0955
0.805,1.9334,2.0957
0.806,1.9334,2.0959
0.807,1.9334,2.0962
0.808,1.9333,2.0964
0.809,1.9333,2.0966
0.81,1.9332,2.0968
0.811,1.9332,2.097
0.812,1.9332,2.0972
0.813,1.9331,2.0975
0.814,1.9331,2.0977
0.815,1.9331,2.0979
0.816,1.933,2.0981
0.817,1.933,2.0983
0.818,1.9329,2.0985
0.819,1.9329,2.0988
0.82,1.9329,2.099
0.821,1.9328,2.0992
0.822,1.9328,2.0994
0.823,1.9328,2.0996
0.824,1.9327,2.0998
0.825,1.9327,2.1
0.826,1.9326,2.1003
0.827,1.9326,2.1005
0.828,1.9326,2.1007
0.829,1.9325,2.1009
0.83,1.9325,2.1011
0.831,1.9325,2.1013
0.832,1.9324,2.1016
0.833,1.9324,2.1018
0.834,1.9323,2.1021
0.835,1.9323,2.1023
0.836,1.9323,2.1025
0.837,1.9322,2.1028
0.838,1.9322,2.103
0.839,1.9322,2.1032
0.84,1.9321,2.1035
0.841,1.9321,2.1037
0.842,1.932,2.104
0.843,1.932,2.1042
0.844,1.932,2.1044
0.845,1.9319,2.1047
0.846,1.9319,2.1049
0.847,1.9319,2.1051
0.848,1.9318,2.1054
0.849,1.9318,2.1056
0.85,1.9317,2.1059
0.851,1.9317,2.1061
0.852,1.9317,2.1063
0.853,1.9316,2.1066
0.854,1.9316,2.1068
0.855,1.9316,2.1071
0.856,1.9315,2.1073
0.857,1.9315,2.1075
0.858,1.9314,2.1078
0.859,1.9314,2.108
0.86,1.9314,2.1082
0.861,1.9313,2.1085
0.862,1.9313,2.1087
0.863,1.9313,2.109
0.864,1.9312,2.1092
0.865,1.9312,2.1094
0.866,1.9311,2.1097
0.867,1.9311,2.1099
0.868,1.9311,2.1101
0.869,1.931,2.1104
0.87,1.931,2.1106
0.871,1.931,2.1109
0.872,1.9309,2.1111
0.873,1.9309,2.1113
0.874,1.9308,2.1116
0.875,1.9308,2.1118
0.876,1.9308,2.1121
0.877,1.9307,2.1123
0.878,1.9307,2.1125
0.879,1.9307,2.1128
0.88,1.9306,2.113
0.881,1.9306,2.1132
0.882,1.9305,2.1134
0.883,1.9305,2.1136
0.884,1.9305,2.1138
0.885,1.9304,2.114
0.886,1.9304,2.1141
0.887,1.9303,2.1143
0.888,1.9303,2.1145
0.889,1.9303,2.1146
0.89,1.9302,2.1148
0.891,1.9302,2.115
0.892,1.9302,2.1152
0.893,1.9301,2.1153
0.894,1.9301,2.1155
0.895,1.93,2.1157
0.896,1.93,2.1159
0.897,1.93,2.116
0.898,1.9299,2.1162
0.899,1.9299,2.1164
0.9,1.9299,2.1166
0.901,1.9298,2.1167
0.902,1.9298,2.1169
0.903,1.9297,2.1171
0.904,1.9297,2.1173
0.905,1.9297,2.1174
0.906,1.9296,2.1176
0.907,1.9296,2.1178
0.908,1.9295,2.118
0.909,1.9295,2.1181
0.91,1.9295,2.1183
0.911,1.9294,2.1185
0.912,1.9294,2.1187
0.913,1.9293,2.1188
0.914,1.9293,2.119
0.915,1.9293,2.1192
0.916,1.9292,2.1193
0.917,1.9292,2.1195
0.918,1.9292,2.1197
0.919,1.9291,2.1199
0.92,1.9291,2.12
0.921,1.929,2.1202
0.922,1.929,2.1204
0.923,1.929,2.1206
0.924,1.9289,2.1207
0.925,1.9289,2.1209
0.926,1.9288,2.1211
0.927,1.9288,2.1213
0.928,1.9288,2.1214
0.929,1.9287,2.1216
0.93,1.9287,2.1218
0.931,1.9286,2.122
0.932,1.9286,2.122
0.933,1.9286,2.122
0.934,1.9285,2.1221
0.935,1.9285,2.1221
0.936,1.9284,2.1221
0.937,1.9284,2.1221
0.938,1.9284,2.1221
0.939,1.9283,2.1222
0.94,1.9283,2.1222
0.941,1.9282,2.1222
0.942,1.9282,2.1222
0.943,1.9282,2.1222
0.944,1.9281,2.1223
0.945,1.9281,2.1223
0.946,1.928,2.1223
0.947,1.928,2.1223
0.948,1.928,2.1223
0.949,1.9279,2.1224
0.95,1.9279,2.1224
0.951,1.9278,2.1224
0.952,1.9278,2.1224
0.953,1.9278,2.1224
0.954,1.9277,2.1225
0.955,1.9277,2.1225
0.956,1.9276,2.1225
0.957,1.9276,2.1225
0.958,1.9276,2.1225
0.959,1.9275,2.1226
0.96,1.9275,2.1226
0.961,1.9275,2.1226
0.962,1.9274,2.1226
0.963,1.9274,2.1226
0.964,1.9273,2.1227
0.965,1.9273,2.1227
0.966,1.9273,2.1227
0.967,1.9272,2.1227
0.968,1.9272,2.1227
0.969,1.9271,2.1228
0.97,1.9271,2.1228
0.971,1.9271,2.1228
0.972,1.927,2.1228
0.973,1.927,2.1228
0.974,1.9269,2.1229
0.975,1.9269,2.1229
0.976,1.9269,2.1229
0.977,1.9268,2.1229
0.978,1.9268,2.1229
0.979,1.9267,2.123
0.98,1.9267,2.123
0.981,1.9267,2.123
0.982,1.9266,2.1229
0.983,1.9266,2.1227
0.984,1.9265,2.1226
0.985,1.9265,2.1224
0.986,1.9265,2.1223
0.987,1.9264,2.1221
0.988,1.9264,2.122
0.989,1.9263,2.1218
0.99,1.9263,2.1217
0.991,1.9263,2.1215
0.992,1.9262,2.1214
0.993,1.9262,2.1212
0.994,1.9261,2.1211
0.995,1.9261,2.1209
0.996,1.9261,2.1208
0.997,1.926,2.1206
0.998,1.926,2.1205
0.999,1.9259,2.1203
1,1.9259,2.1202
1.001,1.9259,2.12
1.002,1.9258,2.1199
1.003,1.9258,2.1197
1.004,1.9257,2.1196
1.005,1.9257,2.1194
1.006,1.9257,2.1193
1.007,1.9256,2.1191
1.008,1.9256,2.119
1.009,1.9255,2.1188
1.01,1.9255,2.1187
1.011,1.9255,2.1185
1.012,1.9254,2.1184
1.013,1.9254,2.1182
1.014,1.9253,2.1181
1.015,1.9253,2.1179
1.016,1.9253,2.1178
1.017,1.9252,2.1176
1.018,1.9252,2.1175
1.019,1.9251,2.1173
1.02,1.9251,2.1172
1.021,1.9251,2.117
1.022,1.925,2.1169
1.023,1.925,2.1167
1.024,1.9249,2.1166
1.025,1.9249,2.1164
1.026,1.9249,2.1163
