Run ID,At [m^2],Dfg_Outer [m],Dfg_Inner [m],Lfg [m],ISP [s^-1],Delta-V [m/s],Apogee [m],O/F Ratio Max
2521,0.0025,0.139,0.04,0.5,229.82,316.77,5856.9,3.4562
2529,0.0025,0.139,0.045,0.5,229.91,310.17,5616.8,3.4637
2537,0.0025,0.139,0.05,0.5,229.99,302.61,5348.2,3.4718
2545,0.0025,0.139,0.055,0.5,230.06,293.98,5049.2,3.4804
2553,0.0025,0.139,0.06,0.5,230.12,284.35,4725.8,3.4962
2561,0.0025,0.139,0.065,0.5,230.18,273.68,4379.6,3.5271
2569,0.0025,0.139,0.07,0.5,230.23,261.97,4014.7,3.556
2577,0.0025,0.139,0.075,0.5,230.27,249.17,3633.9,3.583
2585,0.0025,0.139,0.08,0.5,230.31,235.44,3246.3,3.6086
2586,0.0025,0.139,0.08,0.6,225.53,240.67,3382.5,3.0071
2593,0.0025,0.141,0.04,0.5,229.84,327.64,6263.6,3.4608
2601,0.0025,0.141,0.045,0.5,229.93,321.08,6016.9,3.4682
2609,0.0025,0.141,0.05,0.5,230,313.49,5737.8,3.4761
2617,0.0025,0.141,0.055,0.5,230.07,304.82,5426.8,3.4845
2625,0.0025,0.141,0.06,0.5,230.14,295.16,5090,3.4962
2633,0.0025,0.141,0.065,0.5,230.19,284.51,4731.4,3.5271
2641,0.0025,0.141,0.07,0.5,230.24,272.75,4350.4,3.556
2649,0.0025,0.141,0.075,0.5,230.28,259.97,3954.3,3.583
2657,0.0025,0.141,0.08,0.5,230.32,246.18,3548,3.6086
2658,0.0025,0.141,0.08,0.6,225.56,251.69,3698.1,3.0071
